run_id,UNWIND_THRESHOLD_LONG,UNWIND_THRESHOLD_SHORT,TAKE_PROFIT_LONG,TAKE_PROFIT_SHORT,ASK_SKEW1,ASK_SKEW2,BID_SKEW1,BID_SKEW2,PRICE_OFFSET_ASK,PRICE_OFFSET_BID,total_pnl,pnl_EMERALDS,pnl_TOMATOES,duration_s
121,10,-10,10,-20,-2,-3,2,2,1,1,30045.5,14490.0,15555.5,1.82
122,10,-10,10,-20,-2,-3,2,2,1,2,28645.5,14490.0,14155.5,1.81
123,10,-10,10,-20,-2,-3,2,2,2,1,28738.5,14490.0,14248.5,1.82
124,10,-10,10,-20,-2,-3,2,2,2,2,27338.5,14490.0,12848.5,1.8
125,10,-10,10,-20,-2,-3,2,3,1,1,30045.5,14490.0,15555.5,1.99
126,10,-10,10,-20,-2,-3,2,3,1,2,28645.5,14490.0,14155.5,1.86
127,10,-10,10,-20,-2,-3,2,3,2,1,28738.5,14490.0,14248.5,2.1
128,10,-10,10,-20,-2,-3,2,3,2,2,27338.5,14490.0,12848.5,1.98
129,10,-10,20,-10,-1,-2,1,2,1,1,30523.5,14490.0,16033.5,2.11
130,10,-10,20,-10,-1,-2,1,2,1,2,29121.5,14490.0,14631.5,1.96
131,10,-10,20,-10,-1,-2,1,2,2,1,29211.5,14490.0,14721.5,2.21
132,10,-10,20,-10,-1,-2,1,2,2,2,27809.5,14490.0,13319.5,2.13
133,10,-10,20,-10,-1,-2,1,3,1,1,30523.5,14490.0,16033.5,1.89
134,10,-10,20,-10,-1,-2,1,3,1,2,29121.5,14490.0,14631.5,1.88
135,10,-10,20,-10,-1,-2,1,3,2,1,29211.5,14490.0,14721.5,2.12
136,10,-10,20,-10,-1,-2,1,3,2,2,27809.5,14490.0,13319.5,2.0
137,10,-10,20,-10,-1,-2,2,2,1,1,30523.5,14490.0,16033.5,1.85
138,10,-10,20,-10,-1,-2,2,2,1,2,29121.5,14490.0,14631.5,1.83
139,10,-10,20,-10,-1,-2,2,2,2,1,29211.5,14490.0,14721.5,1.97
140,10,-10,20,-10,-1,-2,2,2,2,2,27809.5,14490.0,13319.5,1.98
141,10,-10,20,-10,-1,-2,2,3,1,1,30523.5,14490.0,16033.5,2.0
142,10,-10,20,-10,-1,-2,2,3,1,2,29121.5,14490.0,14631.5,1.95
143,10,-10,20,-10,-1,-2,2,3,2,1,29211.5,14490.0,14721.5,1.79
144,10,-10,20,-10,-1,-2,2,3,2,2,27809.5,14490.0,13319.5,1.81
145,10,-10,20,-10,-1,-3,1,2,1,1,30523.5,14490.0,16033.5,1.77
146,10,-10,20,-10,-1,-3,1,2,1,2,29121.5,14490.0,14631.5,1.89
147,10,-10,20,-10,-1,-3,1,2,2,1,29211.5,14490.0,14721.5,1.78
148,10,-10,20,-10,-1,-3,1,2,2,2,27809.5,14490.0,13319.5,1.81
149,10,-10,20,-10,-1,-3,1,3,1,1,30523.5,14490.0,16033.5,1.79
150,10,-10,20,-10,-1,-3,1,3,1,2,29121.5,14490.0,14631.5,2.04
151,10,-10,20,-10,-1,-3,1,3,2,1,29211.5,14490.0,14721.5,1.9
152,10,-10,20,-10,-1,-3,1,3,2,2,27809.5,14490.0,13319.5,1.99
153,10,-10,20,-10,-1,-3,2,2,1,1,30523.5,14490.0,16033.5,1.78
154,10,-10,20,-10,-1,-3,2,2,1,2,29121.5,14490.0,14631.5,1.77
155,10,-10,20,-10,-1,-3,2,2,2,1,29211.5,14490.0,14721.5,1.79
156,10,-10,20,-10,-1,-3,2,2,2,2,27809.5,14490.0,13319.5,1.79
157,10,-10,20,-10,-1,-3,2,3,1,1,30523.5,14490.0,16033.5,1.88
158,10,-10,20,-10,-1,-3,2,3,1,2,29121.5,14490.0,14631.5,1.76
159,10,-10,20,-10,-1,-3,2,3,2,1,29211.5,14490.0,14721.5,1.77
160,10,-10,20,-10,-1,-3,2,3,2,2,27809.5,14490.0,13319.5,1.79
161,10,-10,20,-10,-2,-2,1,2,1,1,30523.5,14490.0,16033.5,1.8
162,10,-10,20,-10,-2,-2,1,2,1,2,29121.5,14490.0,14631.5,1.8
163,10,-10,20,-10,-2,-2,1,2,2,1,29211.5,14490.0,14721.5,1.76
164,10,-10,20,-10,-2,-2,1,2,2,2,27809.5,14490.0,13319.5,1.79
165,10,-10,20,-10,-2,-2,1,3,1,1,30523.5,14490.0,16033.5,1.79
166,10,-10,20,-10,-2,-2,1,3,1,2,29121.5,14490.0,14631.5,1.8
167,10,-10,20,-10,-2,-2,1,3,2,1,29211.5,14490.0,14721.5,1.92
168,10,-10,20,-10,-2,-2,1,3,2,2,27809.5,14490.0,13319.5,1.83
169,10,-10,20,-10,-2,-2,2,2,1,1,30523.5,14490.0,16033.5,1.79
170,10,-10,20,-10,-2,-2,2,2,1,2,29121.5,14490.0,14631.5,1.76
171,10,-10,20,-10,-2,-2,2,2,2,1,29211.5,14490.0,14721.5,1.79
172,10,-10,20,-10,-2,-2,2,2,2,2,27809.5,14490.0,13319.5,1.77
173,10,-10,20,-10,-2,-2,2,3,1,1,30523.5,14490.0,16033.5,1.79
174,10,-10,20,-10,-2,-2,2,3,1,2,29121.5,14490.0,14631.5,2.06
175,10,-10,20,-10,-2,-2,2,3,2,1,29211.5,14490.0,14721.5,1.87
176,10,-10,20,-10,-2,-2,2,3,2,2,27809.5,14490.0,13319.5,2.09
177,10,-10,20,-10,-2,-3,1,2,1,1,30523.5,14490.0,16033.5,1.84
178,10,-10,20,-10,-2,-3,1,2,1,2,29121.5,14490.0,14631.5,1.81
179,10,-10,20,-10,-2,-3,1,2,2,1,29211.5,14490.0,14721.5,1.81
180,10,-10,20,-10,-2,-3,1,2,2,2,27809.5,14490.0,13319.5,1.98
181,10,-10,20,-10,-2,-3,1,3,1,1,30523.5,14490.0,16033.5,1.8
182,10,-10,20,-10,-2,-3,1,3,1,2,29121.5,14490.0,14631.5,1.81
183,10,-10,20,-10,-2,-3,1,3,2,1,29211.5,14490.0,14721.5,1.95
184,10,-10,20,-10,-2,-3,1,3,2,2,27809.5,14490.0,13319.5,1.93
185,10,-10,20,-10,-2,-3,2,2,1,1,30523.5,14490.0,16033.5,1.85
186,10,-10,20,-10,-2,-3,2,2,1,2,29121.5,14490.0,14631.5,1.78
187,10,-10,20,-10,-2,-3,2,2,2,1,29211.5,14490.0,14721.5,1.8
188,10,-10,20,-10,-2,-3,2,2,2,2,27809.5,14490.0,13319.5,1.99
189,10,-10,20,-10,-2,-3,2,3,1,1,30523.5,14490.0,16033.5,1.87
190,10,-10,20,-10,-2,-3,2,3,1,2,29121.5,14490.0,14631.5,1.78
191,10,-10,20,-10,-2,-3,2,3,2,1,29211.5,14490.0,14721.5,1.9
192,10,-10,20,-10,-2,-3,2,3,2,2,27809.5,14490.0,13319.5,1.96
193,10,-10,20,-20,-1,-2,1,2,1,1,30526.5,14490.0,16036.5,1.83
194,10,-10,20,-20,-1,-2,1,2,1,2,29124.5,14490.0,14634.5,1.76
195,10,-10,20,-20,-1,-2,1,2,2,1,29219.5,14490.0,14729.5,1.79
196,10,-10,20,-20,-1,-2,1,2,2,2,27817.5,14490.0,13327.5,1.96
197,10,-10,20,-20,-1,-2,1,3,1,1,30526.5,14490.0,16036.5,1.87
198,10,-10,20,-20,-1,-2,1,3,1,2,29124.5,14490.0,14634.5,1.81
199,10,-10,20,-20,-1,-2,1,3,2,1,29219.5,14490.0,14729.5,1.77
200,10,-10,20,-20,-1,-2,1,3,2,2,27817.5,14490.0,13327.5,1.76
201,10,-10,20,-20,-1,-2,2,2,1,1,30526.5,14490.0,16036.5,1.76
202,10,-10,20,-20,-1,-2,2,2,1,2,29124.5,14490.0,14634.5,1.85
203,10,-10,20,-20,-1,-2,2,2,2,1,29219.5,14490.0,14729.5,1.77
204,10,-10,20,-20,-1,-2,2,2,2,2,27817.5,14490.0,13327.5,1.78
205,10,-10,20,-20,-1,-2,2,3,1,1,30526.5,14490.0,16036.5,1.79
206,10,-10,20,-20,-1,-2,2,3,1,2,29124.5,14490.0,14634.5,1.77
207,10,-10,20,-20,-1,-2,2,3,2,1,29219.5,14490.0,14729.5,1.79
208,10,-10,20,-20,-1,-2,2,3,2,2,27817.5,14490.0,13327.5,1.83
209,10,-10,20,-20,-1,-3,1,2,1,1,30526.5,14490.0,16036.5,2.05
210,10,-10,20,-20,-1,-3,1,2,1,2,29124.5,14490.0,14634.5,2.39
211,10,-10,20,-20,-1,-3,1,2,2,1,29219.5,14490.0,14729.5,2.28
212,10,-10,20,-20,-1,-3,1,2,2,2,27817.5,14490.0,13327.5,2.3
213,10,-10,20,-20,-1,-3,1,3,1,1,30526.5,14490.0,16036.5,2.08
214,10,-10,20,-20,-1,-3,1,3,1,2,29124.5,14490.0,14634.5,1.82
215,10,-10,20,-20,-1,-3,1,3,2,1,29219.5,14490.0,14729.5,1.78
216,10,-10,20,-20,-1,-3,1,3,2,2,27817.5,14490.0,13327.5,1.83
217,10,-10,20,-20,-1,-3,2,2,1,1,30526.5,14490.0,16036.5,1.8
218,10,-10,20,-20,-1,-3,2,2,1,2,29124.5,14490.0,14634.5,1.95
219,10,-10,20,-20,-1,-3,2,2,2,1,29219.5,14490.0,14729.5,1.82
220,10,-10,20,-20,-1,-3,2,2,2,2,27817.5,14490.0,13327.5,1.85
221,10,-10,20,-20,-1,-3,2,3,1,1,30526.5,14490.0,16036.5,1.81
222,10,-10,20,-20,-1,-3,2,3,1,2,29124.5,14490.0,14634.5,1.86
223,10,-10,20,-20,-1,-3,2,3,2,1,29219.5,14490.0,14729.5,1.84
224,10,-10,20,-20,-1,-3,2,3,2,2,27817.5,14490.0,13327.5,2.08
225,10,-10,20,-20,-2,-2,1,2,1,1,30526.5,14490.0,16036.5,1.84
226,10,-10,20,-20,-2,-2,1,2,1,2,29124.5,14490.0,14634.5,1.83
227,10,-10,20,-20,-2,-2,1,2,2,1,29219.5,14490.0,14729.5,1.92
228,10,-10,20,-20,-2,-2,1,2,2,2,27817.5,14490.0,13327.5,1.87
229,10,-10,20,-20,-2,-2,1,3,1,1,30526.5,14490.0,16036.5,2.08
230,10,-10,20,-20,-2,-2,1,3,1,2,29124.5,14490.0,14634.5,1.8
231,10,-10,20,-20,-2,-2,1,3,2,1,29219.5,14490.0,14729.5,1.78
232,10,-10,20,-20,-2,-2,1,3,2,2,27817.5,14490.0,13327.5,1.77
233,10,-10,20,-20,-2,-2,2,2,1,1,30526.5,14490.0,16036.5,1.78
234,10,-10,20,-20,-2,-2,2,2,1,2,29124.5,14490.0,14634.5,1.76
235,10,-10,20,-20,-2,-2,2,2,2,1,29219.5,14490.0,14729.5,1.77
236,10,-10,20,-20,-2,-2,2,2,2,2,27817.5,14490.0,13327.5,1.78
237,10,-10,20,-20,-2,-2,2,3,1,1,30526.5,14490.0,16036.5,1.77
238,10,-10,20,-20,-2,-2,2,3,1,2,29124.5,14490.0,14634.5,1.77
239,10,-10,20,-20,-2,-2,2,3,2,1,29219.5,14490.0,14729.5,1.77
240,10,-10,20,-20,-2,-2,2,3,2,2,27817.5,14490.0,13327.5,1.92
241,10,-10,20,-20,-2,-3,1,2,1,1,30526.5,14490.0,16036.5,1.77
242,10,-10,20,-20,-2,-3,1,2,1,2,29124.5,14490.0,14634.5,1.79
243,10,-10,20,-20,-2,-3,1,2,2,1,29219.5,14490.0,14729.5,1.76
244,10,-10,20,-20,-2,-3,1,2,2,2,27817.5,14490.0,13327.5,1.82
245,10,-10,20,-20,-2,-3,1,3,1,1,30526.5,14490.0,16036.5,1.78
246,10,-10,20,-20,-2,-3,1,3,1,2,29124.5,14490.0,14634.5,1.77
247,10,-10,20,-20,-2,-3,1,3,2,1,29219.5,14490.0,14729.5,1.76
248,10,-10,20,-20,-2,-3,1,3,2,2,27817.5,14490.0,13327.5,1.8
249,10,-10,20,-20,-2,-3,2,2,1,1,30526.5,14490.0,16036.5,1.78
250,10,-10,20,-20,-2,-3,2,2,1,2,29124.5,14490.0,14634.5,1.78
251,10,-10,20,-20,-2,-3,2,2,2,1,29219.5,14490.0,14729.5,1.76
252,10,-10,20,-20,-2,-3,2,2,2,2,27817.5,14490.0,13327.5,1.79
253,10,-10,20,-20,-2,-3,2,3,1,1,30526.5,14490.0,16036.5,1.78
254,10,-10,20,-20,-2,-3,2,3,1,2,29124.5,14490.0,14634.5,1.92
255,10,-10,20,-20,-2,-3,2,3,2,1,29219.5,14490.0,14729.5,2.12
256,10,-10,20,-20,-2,-3,2,3,2,2,27817.5,14490.0,13327.5,2.08
257,10,-20,10,-10,-1,-2,1,2,1,1,30485.5,14490.0,15995.5,1.81
258,10,-20,10,-10,-1,-2,1,2,1,2,29083.5,14490.0,14593.5,2.0
259,10,-20,10,-10,-1,-2,1,2,2,1,29173.5,14490.0,14683.5,1.81
260,10,-20,10,-10,-1,-2,1,2,2,2,27771.5,14490.0,13281.5,1.86
261,10,-20,10,-10,-1,-2,1,3,1,1,30485.5,14490.0,15995.5,1.78
262,10,-20,10,-10,-1,-2,1,3,1,2,29083.5,14490.0,14593.5,1.76
263,10,-20,10,-10,-1,-2,1,3,2,1,29173.5,14490.0,14683.5,1.74
264,10,-20,10,-10,-1,-2,1,3,2,2,27771.5,14490.0,13281.5,1.78
265,10,-20,10,-10,-1,-2,2,2,1,1,30485.5,14490.0,15995.5,1.78
266,10,-20,10,-10,-1,-2,2,2,1,2,29083.5,14490.0,14593.5,1.76
267,10,-20,10,-10,-1,-2,2,2,2,1,29173.5,14490.0,14683.5,1.76
268,10,-20,10,-10,-1,-2,2,2,2,2,27771.5,14490.0,13281.5,1.77
269,10,-20,10,-10,-1,-2,2,3,1,1,30485.5,14490.0,15995.5,1.91
270,10,-20,10,-10,-1,-2,2,3,1,2,29083.5,14490.0,14593.5,1.75
271,10,-20,10,-10,-1,-2,2,3,2,1,29173.5,14490.0,14683.5,1.77
272,10,-20,10,-10,-1,-2,2,3,2,2,27771.5,14490.0,13281.5,1.8
273,10,-20,10,-10,-1,-3,1,2,1,1,30485.5,14490.0,15995.5,1.81
274,10,-20,10,-10,-1,-3,1,2,1,2,29083.5,14490.0,14593.5,1.86
275,10,-20,10,-10,-1,-3,1,2,2,1,29173.5,14490.0,14683.5,1.82
276,10,-20,10,-10,-1,-3,1,2,2,2,27771.5,14490.0,13281.5,1.79
277,10,-20,10,-10,-1,-3,1,3,1,1,30485.5,14490.0,15995.5,1.84
278,10,-20,10,-10,-1,-3,1,3,1,2,29083.5,14490.0,14593.5,1.81
279,10,-20,10,-10,-1,-3,1,3,2,1,29173.5,14490.0,14683.5,1.92
280,10,-20,10,-10,-1,-3,1,3,2,2,27771.5,14490.0,13281.5,1.75
281,10,-20,10,-10,-1,-3,2,2,1,1,30485.5,14490.0,15995.5,1.79
282,10,-20,10,-10,-1,-3,2,2,1,2,29083.5,14490.0,14593.5,1.79
283,10,-20,10,-10,-1,-3,2,2,2,1,29173.5,14490.0,14683.5,1.81
284,10,-20,10,-10,-1,-3,2,2,2,2,27771.5,14490.0,13281.5,2.15
285,10,-20,10,-10,-1,-3,2,3,1,1,30485.5,14490.0,15995.5,1.94
286,10,-20,10,-10,-1,-3,2,3,1,2,29083.5,14490.0,14593.5,1.96
287,10,-20,10,-10,-1,-3,2,3,2,1,29173.5,14490.0,14683.5,1.88
288,10,-20,10,-10,-1,-3,2,3,2,2,27771.5,14490.0,13281.5,1.89
289,10,-20,10,-10,-2,-2,1,2,1,1,30485.5,14490.0,15995.5,1.96
290,10,-20,10,-10,-2,-2,1,2,1,2,29083.5,14490.0,14593.5,1.8
291,10,-20,10,-10,-2,-2,1,2,2,1,29173.5,14490.0,14683.5,1.83
292,10,-20,10,-10,-2,-2,1,2,2,2,27771.5,14490.0,13281.5,1.93
293,10,-20,10,-10,-2,-2,1,3,1,1,30485.5,14490.0,15995.5,1.82
294,10,-20,10,-10,-2,-2,1,3,1,2,29083.5,14490.0,14593.5,1.86
295,10,-20,10,-10,-2,-2,1,3,2,1,29173.5,14490.0,14683.5,1.83
